Id,Year,Month,Day,Away,Home,OverTime,AwayPoints,HomePoints,AwayFTM,HomeFTM,AwayFTA,HomeFTA,AwayFGM,HomeFGM,AwayFGA,HomeFGA,Away3PM,Home3PM,AwayAssists,HomeAssists,AwayTurnovers,HomeTurnovers,AwaySteals,HomeSteals,AwayBlocks,HomeBlocks,AwayRebounds,HomeRebounds
0,2005,11,1,28,1,1.0,111.0,108.0,19.0,17.0,28.0,23.0,34.0,35.0,86.0,89.0,8.0,7.0,16.0,27.0,18.0,19.0,9.0,9.0,4.0,6.0,63.0,58.0
1,2005,11,1,10,2,0.0,91.0,102.0,9.0,16.0,15.0,21.0,41.0,37.0,83.0,77.0,0.0,4.0,21.0,21.0,9.0,15.0,5.0,6.0,7.0,4.0,44.0,51.0
2,2005,11,1,25,3,1.0,117.0,108.0,27.0,22.0,33.0,29.0,36.0,37.0,79.0,91.0,6.0,4.0,22.0,21.0,16.0,7.0,10.0,3.0,7.0,3.0,62.0,48.0
3,2005,11,1,29,4,0.0,67.0,93.0,14.0,19.0,19.0,22.0,22.0,31.0,77.0,69.0,3.0,4.0,11.0,21.0,16.0,19.0,7.0,8.0,4.0,5.0,47.0,54.0
4,2005,11,2,30,5,0.0,97.0,122.0,16.0,27.0,21.0,43.0,36.0,37.0,90.0,68.0,3.0,8.0,17.0,19.0,18.0,19.0,10.0,12.0,8.0,3.0,57.0,49.0
5,2005,11,2,24,6,1.0,105.0,109.0,25.0,23.0,33.0,33.0,37.0,31.0,92.0,83.0,3.0,8.0,21.0,29.0,18.0,18.0,8.0,13.0,6.0,3.0,68.0,57.0
6,2005,11,2,28,7,0.0,82.0,93.0,21.0,22.0,31.0,34.0,26.0,25.0,74.0,67.0,3.0,7.0,10.0,15.0,13.0,16.0,6.0,10.0,15.0,9.0,52.0,60.0
7,2005,11,2,27,8,0.0,90.0,78.0,15.0,13.0,20.0,19.0,27.0,28.0,63.0,68.0,8.0,3.0,16.0,21.0,10.0,15.0,8.0,12.0,4.0,5.0,43.0,45.0
8,2005,11,2,21,9,0.0,101.0,95.0,17.0,17.0,24.0,25.0,36.0,21.0,75.0,68.0,5.0,12.0,22.0,20.0,18.0,18.0,9.0,8.0,4.0,10.0,52.0,49.0
9,2005,11,2,20,10,1.0,99.0,97.0,21.0,13.0,30.0,21.0,30.0,39.0,76.0,90.0,6.0,3.0,24.0,30.0,19.0,20.0,9.0,10.0,5.0,9.0,57.0,59.0
10,2005,11,2,19,11,0.0,97.0,78.0,16.0,16.0,21.0,26.0,30.0,25.0,70.0,80.0,7.0,4.0,19.0,15.0,17.0,15.0,8.0,7.0,6.0,7.0,58.0,54.0
11,2005,11,2,25,12,0.0,110.0,96.0,29.0,29.0,37.0,44.0,27.0,26.0,84.0,72.0,10.0,5.0,18.0,17.0,8.0,12.0,3.0,8.0,8.0,5.0,63.0,63.0
12,2005,11,2,22,13,1.0,100.0,114.0,18.0,36.0,33.0,48.0,32.0,31.0,78.0,82.0,6.0,5.0,18.0,23.0,21.0,17.0,15.0,10.0,11.0,5.0,52.0,72.0
13,2005,11,2,4,14,0.0,87.0,109.0,19.0,22.0,25.0,30.0,28.0,24.0,73.0,54.0,4.0,13.0,17.0,22.0,10.0,13.0,8.0,8.0,3.0,6.0,38.0,54.0
14,2005,11,2,3,15,0.0,88.0,108.0,22.0,18.0,27.0,21.0,33.0,40.0,76.0,74.0,0.0,5.0,11.0,29.0,13.0,12.0,7.0,7.0,7.0,4.0,37.0,48.0
15,2005,11,2,23,16,0.0,86.0,90.0,11.0,10.0,18.0,18.0,33.0,31.0,79.0,75.0,3.0,6.0,18.0,23.0,14.0,14.0,7.0,11.0,8.0,5.0,51.0,54.0
16,2005,11,2,29,17,0.0,89.0,98.0,20.0,17.0,24.0,25.0,33.0,27.0,82.0,74.0,1.0,9.0,19.0,20.0,15.0,11.0,8.0,7.0,3.0,2.0,55.0,53.0
17,2005,11,2,26,18,0.0,99.0,96.0,13.0,17.0,24.0,20.0,37.0,26.0,80.0,79.0,4.0,9.0,28.0,19.0,12.0,13.0,4.0,4.0,3.0,4.0,55.0,56.0
18,2005,11,3,27,19,0.0,105.0,102.0,26.0,27.0,33.0,42.0,32.0,33.0,72.0,72.0,5.0,3.0,15.0,18.0,11.0,15.0,5.0,8.0,8.0,2.0,45.0,56.0
19,2005,11,3,1,20,0.0,122.0,112.0,22.0,24.0,28.0,29.0,35.0,35.0,79.0,81.0,10.0,6.0,35.0,20.0,10.0,8.0,6.0,6.0,0.0,4.0,48.0,53.0
20,2005,11,4,30,21,0.0,77.0,92.0,23.0,23.0,34.0,34.0,18.0,33.0,63.0,76.0,6.0,1.0,16.0,18.0,20.0,16.0,10.0,8.0,11.0,6.0,49.0,61.0
21,2005,11,4,24,3,0.0,110.0,93.0,24.0,24.0,32.0,37.0,37.0,33.0,84.0,77.0,4.0,1.0,28.0,12.0,12.0,13.0,9.0,7.0,3.0,3.0,62.0,51.0
22,2005,11,4,14,2,0.0,76.0,102.0,16.0,4.0,21.0,8.0,24.0,34.0,78.0,67.0,4.0,10.0,13.0,27.0,16.0,17.0,5.0,9.0,6.0,4.0,48.0,51.0
23,2005,11,4,15,13,0.0,82.0,81.0,15.0,19.0,19.0,26.0,24.0,28.0,70.0,74.0,8.0,2.0,15.0,19.0,18.0,17.0,8.0,9.0,7.0,3.0,51.0,52.0
24,2005,11,4,11,8,0.0,94.0,85.0,17.0,18.0,23.0,25.0,22.0,32.0,58.0,69.0,13.0,1.0,17.0,14.0,14.0,12.0,6.0,4.0,2.0,2.0,43.0,44.0
25,2005,11,4,16,9,1.0,102.0,107.0,12.0,33.0,17.0,36.0,36.0,31.0,81.0,79.0,7.0,4.0,21.0,16.0,18.0,20.0,10.0,9.0,4.0,6.0,43.0,58.0
26,2005,11,4,12,18,0.0,102.0,92.0,21.0,19.0,31.0,22.0,27.0,23.0,65.0,71.0,9.0,9.0,18.0,15.0,18.0,16.0,7.0,10.0,5.0,1.0,58.0,42.0
27,2005,11,4,23,10,0.0,68.0,107.0,7.0,9.0,20.0,16.0,26.0,43.0,84.0,89.0,3.0,4.0,20.0,34.0,19.0,14.0,10.0,7.0,14.0,12.0,54.0,70.0
28,2005,11,4,7,5,0.0,91.0,85.0,27.0,22.0,35.0,38.0,29.0,24.0,75.0,73.0,2.0,5.0,17.0,12.0,15.0,10.0,6.0,7.0,9.0,5.0,63.0,56.0
29,2005,11,4,26,22,0.0,86.0,75.0,11.0,18.0,15.0,27.0,27.0,24.0,69.0,79.0,7.0,4.0,17.0,10.0,16.0,21.0,6.0,10.0,3.0,6.0,45.0,65.0
30,2005,11,5,30,23,0.0,93.0,94.0,16.0,24.0,23.0,36.0,28.0,29.0,67.0,73.0,7.0,4.0,16.0,17.0,9.0,18.0,3.0,9.0,3.0,10.0,38.0,64.0
31,2005,11,5,13,24,1.0,105.0,107.0,22.0,36.0,30.0,47.0,34.0,31.0,81.0,76.0,5.0,3.0,22.0,20.0,20.0,22.0,15.0,11.0,3.0,8.0,55.0,56.0
32,2005,11,5,6,12,0.0,99.0,100.0,22.0,32.0,25.0,36.0,28.0,31.0,76.0,78.0,7.0,4.0,22.0,21.0,14.0,19.0,6.0,5.0,3.0,4.0,44.0,58.0
33,2005,11,5,14,11,0.0,106.0,113.0,18.0,26.0,22.0,35.0,35.0,27.0,82.0,54.0,6.0,11.0,17.0,24.0,7.0,14.0,4.0,6.0,9.0,6.0,39.0,49.0
34,2005,11,5,19,25,0.0,100.0,105.0,16.0,18.0,25.0,23.0,27.0,33.0,66.0,74.0,10.0,7.0,21.0,21.0,15.0,13.0,11.0,7.0,2.0,6.0,49.0,45.0
35,2005,11,5,16,21,1.0,99.0,100.0,18.0,18.0,27.0,22.0,36.0,35.0,81.0,85.0,4.0,4.0,16.0,20.0,7.0,8.0,3.0,3.0,5.0,6.0,52.0,56.0
36,2005,11,5,4,17,0.0,91.0,84.0,24.0,25.0,32.0,28.0,29.0,19.0,78.0,67.0,3.0,7.0,22.0,17.0,8.0,16.0,3.0,11.0,8.0,3.0,52.0,56.0
37,2005,11,5,8,26,0.0,79.0,87.0,24.0,24.0,35.0,37.0,23.0,24.0,80.0,66.0,3.0,5.0,10.0,12.0,10.0,12.0,5.0,7.0,12.0,3.0,65.0,58.0
38,2005,11,5,3,27,0.0,111.0,109.0,25.0,20.0,33.0,21.0,37.0,31.0,70.0,70.0,4.0,10.0,27.0,21.0,10.0,17.0,7.0,8.0,4.0,5.0,35.0,46.0
39,2005,11,5,1,7,0.0,97.0,88.0,15.0,16.0,15.0,25.0,32.0,30.0,82.0,82.0,6.0,4.0,26.0,11.0,9.0,21.0,5.0,10.0,6.0,7.0,42.0,69.0
40,2005,11,5,2,28,0.0,84.0,103.0,17.0,19.0,20.0,26.0,26.0,33.0,70.0,71.0,5.0,6.0,12.0,15.0,19.0,12.0,12.0,3.0,6.0,7.0,46.0,47.0
41,2005,11,5,18,15,0.0,84.0,117.0,16.0,26.0,20.0,36.0,28.0,38.0,73.0,84.0,4.0,5.0,20.0,26.0,14.0,11.0,5.0,5.0,7.0,1.0,41.0,64.0
42,2005,11,6,10,20,0.0,92.0,112.0,24.0,25.0,32.0,31.0,31.0,39.0,76.0,79.0,2.0,3.0,25.0,23.0,20.0,19.0,9.0,12.0,5.0,6.0,42.0,57.0
43,2005,11,6,5,22,0.0,83.0,81.0,15.0,13.0,32.0,25.0,19.0,34.0,63.0,85.0,10.0,0.0,11.0,18.0,12.0,17.0,3.0,6.0,3.0,5.0,52.0,72.0
44,2005,11,6,29,1,0.0,118.0,117.0,23.0,12.0,29.0,16.0,37.0,39.0,91.0,76.0,7.0,9.0,24.0,35.0,9.0,12.0,5.0,9.0,10.0,2.0,58.0,45.0
45,2005,11,7,14,18,0.0,105.0,93.0,29.0,15.0,34.0,25.0,32.0,36.0,68.0,75.0,4.0,3.0,16.0,16.0,14.0,10.0,8.0,7.0,4.0,5.0,57.0,35.0
46,2005,11,7,21,16,0.0,78.0,93.0,18.0,16.0,24.0,21.0,30.0,37.0,75.0,71.0,0.0,1.0,16.0,18.0,16.0,13.0,7.0,4.0,9.0,3.0,51.0,39.0
47,2005,11,7,12,19,0.0,89.0,90.0,18.0,17.0,25.0,24.0,31.0,29.0,73.0,63.0,3.0,5.0,11.0,21.0,13.0,12.0,7.0,5.0,9.0,3.0,46.0,46.0
48,2005,11,7,7,24,1.0,95.0,91.0,21.0,27.0,38.0,36.0,31.0,29.0,73.0,87.0,5.0,2.0,19.0,17.0,23.0,11.0,12.0,3.0,4.0,11.0,69.0,57.0
49,2005,11,8,15,29,0.0,102.0,88.0,19.0,14.0,23.0,16.0,34.0,34.0,72.0,76.0,5.0,2.0,20.0,22.0,13.0,13.0,6.0,12.0,3.0,4.0,50.0,36.0
50,2005,11,8,5,25,0.0,110.0,103.0,19.0,7.0,26.0,11.0,26.0,39.0,65.0,88.0,13.0,6.0,23.0,30.0,16.0,11.0,11.0,2.0,3.0,3.0,52.0,47.0
51,2005,11,8,20,30,0.0,103.0,97.0,20.0,19.0,33.0,26.0,31.0,33.0,66.0,71.0,7.0,4.0,21.0,9.0,14.0,22.0,5.0,15.0,1.0,4.0,47.0,47.0
52,2005,11,8,8,17,0.0,76.0,74.0,15.0,18.0,22.0,19.0,23.0,22.0,69.0,66.0,5.0,4.0,11.0,17.0,15.0,11.0,9.0,4.0,9.0,7.0,59.0,39.0
53,2005,11,8,9,11,0.0,69.0,94.0,18.0,12.0,26.0,23.0,18.0,29.0,65.0,67.0,5.0,8.0,13.0,24.0,21.0,14.0,9.0,8.0,5.0,1.0,53.0,51.0
54,2005,11,7,2,6,1.0,104.0,95.0,18.0,20.0,23.0,25.0,31.0,33.0,78.0,88.0,8.0,3.0,28.0,16.0,14.0,11.0,7.0,6.0,3.0,9.0,56.0,56.0
