Code,Time,Team,FoulType
0,00:47:44,28,22
0,00:45:29,28,25
0,00:45:11,01,22
0,00:43:53,28,25
0,00:42:05,01,22
0,00:36:00,28,22
0,00:35:44,01,22
0,00:35:02,01,22
0,00:32:03,01,22
0,00:31:21,01,1
0,00:30:44,28,25
0,00:29:52,28,22
0,00:29:29,28,22
0,00:29:20,01,22
0,00:26:19,01,20
0,00:25:45,28,20
0,00:24:01,01,22
0,00:22:11,01,22
0,00:19:18,28,22
0,00:18:42,01,21
0,00:18:06,28,25
0,00:14:41,01,6
0,00:13:42,28,21
0,00:13:22,28,22
0,00:12:39,01,22
0,00:11:35,28,6
0,00:11:19,01,22
0,00:10:10,28,21
0,00:10:00,01,21
0,00:09:11,28,22
0,00:08:17,28,22
0,00:07:05,01,25
0,00:04:53,28,20
0,00:04:35,01,22
0,00:02:36,28,20
0,00:02:29,01,20
0,-00:09:16,01,22
1,00:47:23,02,21
1,00:45:59,02,20
1,00:44:20,10,21
1,00:44:03,02,25
1,00:43:02,02,22
1,00:40:33,10,20
1,00:39:30,10,10
1,00:38:28,10,22
1,00:31:05,10,22
1,00:29:30,02,6
1,00:29:01,02,5
1,00:27:41,10,22
1,00:26:54,02,22
1,00:26:40,02,22
1,00:26:36,10,22
1,00:23:08,02,25
1,00:20:03,02,20
1,00:18:51,10,20
1,00:15:14,02,22
1,00:13:44,02,25
1,00:13:22,02,22
1,00:00:58,10,21
1,00:00:41,02,22
1,00:00:07,02,6
2,00:46:39,25,20
2,00:46:19,25,22
2,00:46:15,03,22
2,00:45:15,25,22
2,00:41:02,25,25
2,00:40:07,03,21
2,00:38:43,03,22
2,00:34:34,25,20
2,00:32:14,25,25
2,00:28:17,03,25
2,00:27:08,25,20
2,00:26:48,25,20
2,00:23:54,25,24
2,00:20:00,25,7
2,00:17:37,03,22
2,00:16:13,25,22
2,00:14:32,25,22
2,00:09:02,25,20
2,00:08:15,03,20
2,00:07:03,03,22
2,00:05:43,25,22
2,00:02:22,25,20
2,00:02:06,25,20
3,00:47:47,29,5
3,00:47:03,29,5
3,00:46:50,04,5
3,00:44:33,04,22
3,00:44:28,29,22
3,00:43:59,04,21
3,00:42:05,04,22
3,00:35:41,04,20
3,00:35:38,29,1
3,00:33:22,04,20
3,00:33:03,29,21
3,00:31:29,29,25
3,00:27:34,29,1
3,00:27:01,04,22
3,00:26:35,04,22
3,00:26:15,04,22
3,00:24:35,04,1
3,00:21:49,29,20
3,00:19:34,29,20
3,00:18:26,04,5
3,00:17:49,29,22
3,00:15:04,04,1
3,00:12:01,29,6
3,00:11:30,04,21
3,00:10:06,04,6
3,00:09:54,29,5
3,00:09:40,04,10
3,00:09:07,04,1
3,00:08:20,29,20
3,00:07:48,04,20
3,00:06:10,29,22
3,00:05:47,29,22
3,00:05:10,29,21
3,00:04:26,04,22
3,00:03:17,04,22
4,00:46:52,05,22
4,00:46:36,05,22
4,00:46:05,30,22
4,00:45:34,30,20
4,00:45:02,05,22
4,00:43:37,05,21
4,00:42:43,05,22
4,00:41:48,05,22
4,00:40:32,05,6
4,00:39:55,05,20
4,00:36:58,30,20
4,00:34:47,05,22
4,00:30:44,30,6
4,00:30:05,05,22
4,00:29:58,30,21
4,00:29:21,30,2
4,00:29:09,05,22
4,00:28:49,30,22
4,00:27:50,30,20
4,00:26:16,30,20
4,00:26:15,05,1
4,00:25:26,05,11
4,00:24:22,05,22
4,00:23:45,05,22
4,00:22:25,30,3
4,00:21:23,05,22
4,00:21:00,30,6
4,00:19:02,30,20
4,00:14:51,30,21
4,00:10:49,30,22
4,00:09:48,30,20
4,00:09:02,30,22
4,00:07:13,05,20
4,00:03:39,05,22
4,00:01:45,30,22
4,00:01:27,05,20
4,00:00:52,30,20
5,00:47:46,06,20
5,00:47:29,06,21
5,00:45:53,06,20
5,00:45:35,06,20
5,00:41:55,06,10
5,00:41:44,24,22
5,00:39:54,06,22
5,00:39:30,24,25
5,00:36:46,06,22
5,00:35:40,24,21
5,00:33:46,06,20
5,00:32:35,24,20
5,00:31:03,06,22
5,00:29:50,06,22
5,00:28:19,06,1
5,00:27:06,06,20
5,00:26:48,06,22
5,00:24:05,06,20
5,00:21:52,06,1
5,00:21:34,06,22
5,00:20:06,24,22
5,00:18:54,24,25
5,00:16:41,24,22
5,00:15:45,24,21
5,00:13:44,24,22
5,00:10:52,24,22
5,00:10:03,24,22
5,00:06:45,24,7
5,00:05:30,24,20
5,00:04:04,24,21
5,00:03:53,06,20
5,00:03:20,24,22
5,00:01:13,24,6
5,00:00:12,24,22
5,-00:03:41,06,22
5,-00:03:44,24,21
6,00:47:41,28,22
6,00:45:46,28,22
6,00:44:20,07,25
6,00:38:18,07,25
6,00:37:27,07,20
6,00:37:04,07,25
6,00:35:29,28,22
6,00:34:37,28,5
6,00:34:26,07,20
6,00:32:39,28,21
6,00:31:47,07,22
6,00:28:38,28,20
6,00:27:56,07,21
6,00:26:47,28,25
6,00:21:14,07,22
6,00:21:11,28,20
6,00:18:35,07,20
6,00:17:39,28,5
6,00:16:34,28,22
6,00:15:47,28,22
6,00:12:44,07,25
6,00:12:19,07,20
6,00:11:27,07,20
6,00:11:13,28,20
6,00:10:43,07,20
6,00:09:14,07,22
6,00:08:27,28,5
6,00:04:58,07,22
6,00:04:42,07,5
7,00:43:55,08,22
7,00:43:11,08,20
7,00:42:06,27,20
7,00:40:48,27,20
7,00:40:12,08,20
7,00:39:35,27,25
7,00:39:08,27,22
